Twitter ID#,Twitter User ID,Klout Score,Fol. Ct,Location,Tweet Creation Date,Tweet Text Contents 
364839754048610304,MSmithWriter,38.8022622201,202,Oakland California,Tue Aug 06 20:05:50 +0000 2013,RT @MerkleRMG: .@CACSdotorg has employed a #data organizer to help users utilize raw data for info http://t.co/gZ5MhFt1ev via @npquarterly …
364822488875667456,RedNewsJunkie,22.5722185037,21,California,Tue Aug 06 18:57:14 +0000 2013,RT @CACSdotorg: AC Transit union threatens Wed. #strike; seeking 10.25% raise over 3 yrs http://t.co/uA80Inw65v
364592064672956416,RedNewsJunkie,22.5722185037,21,California,Tue Aug 06 03:41:36 +0000 2013,#BARTstrike workers make more than every other transit employee in #CA  but still want 10% raisehttp://t.co/WhFNm7RRY6 @CACSdotorg
364537816320974849,aaronmclear,50.0378024959,2149,Sacramento CA,Tue Aug 06 00:06:02 +0000 2013,RT @CACSdotorg: #BART + other transit sys financial data available for online exploration and download http://t.co/ondN4I4fAa #opendata
364534399951319040,meester_awesome,54.4023693282,278,Roseville CA,Mon Aug 05 23:52:28 +0000 2013,Of course. RT @CACSdotorg: New Report: BART Compensation Levels Remain Higher Than Rest of Transit Sector http://t.co/Tj58NHBlPN
364533775557861376,FlashReport,60.9259083547,6316,Newport Beach California,Mon Aug 05 23:49:59 +0000 2013,RT @CACSdotorg: New Report: BART Compensation Levels Remain Higher Than Rest of Transit Sector http://t.co/xOAO6hzqcv
364526224753696769,vanboos,38.6182199551,125,Sacramento CA,Mon Aug 05 23:19:59 +0000 2013,RT @CACSdotorg: [CHART] #BART annual retiree benefit growth vs operating budget growth http://t.co/a4HNM9eYgG http://t.co/7iIvaP6fv3
364525070347018242,Sac_Politics,42.8700810833,634,Sacramento,Mon Aug 05 23:15:23 +0000 2013,RT @aaronmclear: RT @CACSdotorg [CHART] #BART annual retiree benefit growth vs operating budget growth http://t.co/nCujgYyNWF http://t.co/T…
364524134107070465,aaronmclear,50.0378024959,2149,Sacramento CA,Mon Aug 05 23:11:40 +0000 2013,RT @CACSdotorg [CHART] #BART annual retiree benefit growth vs operating budget growth http://t.co/nCujgYyNWF http://t.co/TWq6QzM81v
364519938708357120,CACSdotorg,60.8057250471,1993,Stanford CA,Mon Aug 05 22:55:00 +0000 2013,RT @npquarterly: RT @bsayremerklermg: How are #nonprofits handling #bigdata? @CACSdotorg is using data visualizers. Find out more http://t.…
